,Close,High,Low,Open,Volume,TP,MA,EMA,STD,RSI,ROC,ATR,CCI,%K,%D,plus_di,minus_di,ADMI,AO,WIL_R,OBV
2013-10-29,6774.7001953125,6777.2001953125,6718.89990234375,6725.7998046875,781277300,6756.933430989583,6621.735804966518,6644.338444538027,104.15247095037427,72.42356680671969,0.06891877430996056,54.035714285714285,98.88547668223623,99.43091319536683,98.03607991511335,39.344478997535944,13.533323850289255,25.84732094046955,162.69115923713161,-0.5690868046331669,17557303600
2013-10-30,6777.7001953125,6819.89990234375,6763.7001953125,6774.7001953125,656351600,6787.10009765625,6646.53581891741,6662.120011307958,96.69509597684116,72.62663379501912,0.053992721454397014,50.314243861607146,109.88593163298567,89.16288710468206,95.10203458495194,45.298252348804475,13.4961448783249,27.514641828025606,177.78119255514684,-10.83711289531794,18213655200
2013-10-31,6731.39990234375,6778.2998046875,6719.5,6777.7001953125,742779000,6743.066569010417,6663.978655133928,6671.357330112731,88.03911005587771,64.70708825768611,0.03764331293609576,50.321358816964285,68.180445572563,75.10548523206751,87.89976184403879,42.05671511649437,18.80435304476166,29.331864421290863,177.07995461856626,-24.894514767932492,17470876200
2013-11-01,6734.7001953125,6760.89990234375,6715.2998046875,6731.39990234375,675463600,6736.966634114583,6680.192940848215,6679.8030454727,77.479220783583,65.00005956480976,0.03488175441202842,50.478515625,56.97661910175923,73.0039034639181,79.09075860022257,38.93107934543584,18.00116212693714,29.958344791523714,176.47178883272045,-26.996096536081897,18146339800
2013-11-04,6763.60009765625,6780.10009765625,6734.60009765625,6734.7001953125,510147600,6759.433430989583,6695.514369419643,6690.975985763841,70.97758968165006,67.5410369760306,0.032752591470813504,49.328543526785715,72.84395602232404,82.16103065062373,76.7568064488698,39.77326284803978,17.10504173599367,30.460152023703493,178.34361500459545,-17.838969349376267,18656487400
2013-11-05,6746.7998046875,6773.89990234375,6708.5,6763.60009765625,723671000,6743.066569010417,6708.02863420759,6698.419161620329,61.11297118939508,64.60472016202577,0.026660129105198393,48.278529575892854,47.815414588728046,74.85374223359922,76.67289211604702,37.73555927697548,20.090235406871166,31.08348468963888,167.23412511489005,-25.146257766400776,17932816400
2013-11-06,6741.7001953125,6768.2001953125,6735.60009765625,6746.7998046875,636589100,6748.500162760417,6719.850062779018,6704.189966112618,47.42765921898542,63.69945533695384,0.025166508786938695,47.249965122767854,50.16816395520288,67.91144807522386,74.97540698648227,35.80293628531538,19.06131595797159,31.042851776270144,156.61352826286839,-32.08855192477614,17296227300
2013-11-07,6697.2001953125,6779.2001953125,6680.0,6741.7001953125,641427800,6718.800130208333,6725.178641183035,6703.2579966726025,36.49082457517695,56.287524944951755,0.01126447264763142,51.01426478794643,-14.633214153453888,39.287655743764816,60.68428201752931,32.33260541361369,24.17869231930857,30.923050759578647,146.80887235753653,-60.712344256235184,16654799500
2013-11-08,6708.39990234375,6713.89990234375,6643.89990234375,6697.2001953125,598943100,6688.733235677083,6729.050048828125,6703.943584095422,30.43562647727255,57.62395838584022,0.008145187316340521,53.414236886160715,-104.47670228867852,36.64772727272727,47.94894369723866,28.674154386835998,26.27037273209912,29.69359566154347,137.10763729319842,-63.35227272727273,17253742600
2013-11-11,6728.39990234375,6744.7998046875,6702.0,6708.39990234375,633862400,6725.066569010417,6731.3857421875,6707.204426528533,28.56116800841975,59.97715344233456,0.004883687452753975,51.785679408482146,-18.165991812853452,48.01136363636363,41.315582217618584,31.725394275139013,25.161057943599246,27.92167198853886,125.45289522058829,-51.98863636363637,17887605000
2013-11-12,6726.7998046875,6728.39990234375,6693.2998046875,6728.39990234375,589417300,6716.16650390625,6735.121442522322,6709.817143616396,24.577608754508287,59.69155776455528,0.00783576368080006,51.385707310267854,-62.35901907857218,47.10221724076705,43.92043604995266,29.688597461561244,24.755065545179047,26.73886599050499,116.29701861213198,-52.89778275923296,17298187700
2013-11-13,6630.0,6726.7998046875,6614.0,6726.7998046875,723057300,6656.933268229167,6729.178571428572,6699.174857800876,30.68096181965707,45.55820844333491,-0.012393522149182238,56.221435546875,-204.9509105747441,7.770766191665303,34.29478235626534,25.19680084820926,31.08463113871707,25.483353651405107,92.06286477481626,-92.2292338083347,16575130400
2013-11-14,6666.10009765625,6696.2001953125,6630.0,6630.0,624125200,6664.10009765625,6725.235735212053,6694.764889781593,35.01370832072684,50.28571318387738,-0.008212653599048384,58.857142857142854,-149.35836725651433,25.30360484060301,26.72552942434513,22.349276679760692,27.571715393260583,24.410357324468237,81.33108340992658,-74.69639515939699,17199255600
2013-11-15,6693.39990234375,6703.10009765625,6665.5,6666.10009765625,587733600,6687.333333333333,6722.921456473215,6694.582891456547,36.42983794997785,53.569244492149835,-0.004817256428175146,59.007149832589285,-78.97007102724713,38.5623797971462,23.87891694313818,21.535380099684637,25.537221259223507,23.40400369845494,71.53109202665473,-61.43762020285381,17786989200
2013-11-18,6723.5,6732.10009765625,6671.60009765625,6693.39990234375,538915700,6709.066731770833,6719.264299665178,6698.438505929008,35.38422947125968,56.94576126002525,-0.007557558834548289,59.164271763392854,-23.672015818874527,53.18118112420942,39.01572192065289,23.445180358144484,23.65015918619883,22.298379500918134,62.80111155790473,-46.81881887579058,18325904900
2013-11-19,6698.0,6723.5,6677.89990234375,6723.5,532008000,6699.799967447917,6713.571428571428,6698.380038471806,30.406640957189683,53.4026642461814,-0.011759179812589107,58.407156808035715,-36.00862769283624,50.57191487860589,47.438491933320506,22.052729480782986,22.24553425239568,20.736726589339263,49.37938591452166,-49.42808512139412,17793896900
2013-11-20,6681.10009765625,6711.39990234375,6661.7001953125,6698.0,558048100,6684.7333984375,6709.978585379465,6696.076046363065,30.143842934419848,51.132049071585456,-0.007472413675792242,57.757149832589285,-65.94507871765101,40.397386035928776,48.050160679581374,20.70799144034354,22.892465720475098,19.309962022518338,52.772931985293326,-59.602613964071224,17235848800
2013-11-21,6681.2998046875,6697.7001953125,6643.5,6681.10009765625,483785600,6674.166666666667,6706.164271763393,6694.105880806323,30.454393342590873,51.15847703233455,-0.007929141472721807,58.37144252232143,-81.97754803582541,40.5176189762268,43.8289732969205,19.026487465471753,23.2607213156622,18.31407562414716,49.12464096966869,-59.4823810237732,17719634400
